genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_003647755.1,Candidatus Coatesbacteria bacterium,80.94,0.5,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__RBG-13-66-14;c__;o__;f__;g__;s__,Candidatus Coatesbacteria,Other,B130_G9,SAMN09215209,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_003647755.1,Contig,2.26849,56.2,,QMNL01,415,1986,2018-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/647/755/GCA_003647755.1_ASM364775v1,
GCA_004195035.1,Candidatus Acidulodesulfobacterium ferriphilum,91.81,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__SZUA-79;c__SZUA-79;o__SZUA-79;f__SZUA-79;g__SZUA-79;s__,Deltaproteobacteria,Deltaproteobacteria,AP3,SAMN10849878,PRJNA517999,mine drainage metagenome,Tan et al. 2019,Engineered,GCA_004195035.1,Contig,1.87312,37.3,,SGBD01,7,1778,2019-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/195/035/GCA_004195035.1_Delta_AP3,
GCA_003647375.1,Deltaproteobacteria bacterium,91.94,7.31,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__,Deltaproteobacteria,Deltaproteobacteria,B30_G6,SAMN09215147,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_003647375.1,Contig,5.41361,47.8,,QMMS01,703,5076,2018-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/647/375/GCA_003647375.1_ASM364737v1,
GCA_003818505.1,Desulfobacteraceae bacterium,98.02,1.64,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__,Deltaproteobacteria,Deltaproteobacteria,metabat2.783,SAMN10417403,PRJNA330672,Sediment metagenome/Wetlands Sediment,Dalcin Martins et al. 2018,Sediment,GCA_003818505.1,Contig,4.43102,44.8,,RPRI01,352,3967,2018-11-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/818/505/GCA_003818505.1_ASM381850v1,
GCA_003647445.1,Deltaproteobacteria bacterium,87.62,8.39,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__,Deltaproteobacteria,Deltaproteobacteria,B16_G4,SAMN09215102,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_003647445.1,Contig,5.07884,47.9,,QMMW01,741,4824,2018-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/647/445/GCA_003647445.1_ASM364744v1,
2757320510,Deltaproteobacteria,78.02,1.75,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,minnesota lakes metagenomes,Jones et al. 2019,Freshwater,2757320510,Contig,4.8,39.6,NA,NA,NA,NA,2019,NA,NA
GCA_003236115.1,Desulfobacterales bacterium,53.98,9.34,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,Deltaproteobacteria,Deltaproteobacteria,SZUA-248,SAMN09287796,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003236115.1,Contig,6.3998,55.4,,QJVS01,1489,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/236/115/GCA_003236115.1_ASM323611v1,
GCA_001735875.1,Olavius algarvensis Delta 1 endosymbiont,79.14,10.16,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,Deltaproteobacteria,Deltaproteobacteria,,SAMN02954240,PRJNA17779,olavius symbionts metagenome,Woyke et al. 2006,Endosymbiont,GCA_001735875.1,Scaffold,14.6629,49.6,,AASZ01,226,0,2006-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/875/GCA_001735875.1_ASM173587v1,
bacteria30014,Desulfobacterales_0019,94.49,0.04,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__RAAP-1;s__,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__RAAP-1;s__,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales_0019,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,3.99,50,NA,NA,NA,NA,2019,NA,NA
GCA_003599575.1,Desulfobacteraceae bacterium,97.42,5.16,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__,Deltaproteobacteria,Deltaproteobacteria,SURF_4,SAMN08498998,PRJNA355136,Subsurface metagenome,Momper et al. 2017,Subsurface,GCA_003599575.1,Contig,6.44868,55.7,,QZKV01,197,5611,2018-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/599/575/GCA_003599575.1_ASM359957v1,
GCA_003354055.1,Desulfobacteraceae bacterium,97.72,7.93,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__,Deltaproteobacteria,Deltaproteobacteria,Glo_9,SAMN08108700,PRJNA415343,globobulimina sequencing,NA,Endosymbiont,GCA_003354055.1,Contig,8.96933,46,,PIVQ01,1966,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/354/055/GCA_003354055.1_ASM335405v1,
GCA_003353855.1,Desulfobacteraceae bacterium,97.15,7.39,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__NBML01;s__,Deltaproteobacteria,Deltaproteobacteria,Glo_11,SAMN08108702,PRJNA415343,globobulimina sequencing,NA,Endosymbiont,GCA_003353855.1,Contig,5.94365,44.4,,PIVS01,1269,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/353/855/GCA_003353855.1_ASM335385v1,
bacteria30015,Desulfobacterales_0027,93.33,2,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales_0027,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,3.53,44.9,NA,NA,NA,NA,2019,NA,NA
2757320503,Deltaproteobacteria,94.46,0.88,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,minnesota lakes metagenomes,Jones et al. 2019,Freshwater,2757320503,Contig,4.1,49.2,NA,NA,NA,NA,2019,NA,NA
GCA_000732885.1,Desulfobacula sp. TS,97.6,1.47,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,Deltaproteobacteria,Deltaproteobacteria,TS,SAMN02692668,PRJNA175250,Isolate sequencing,NA,Isolate,GCA_000732885.1,Scaffold,5.37184,42.8,,JIBV01,125,0,2014-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/885/GCA_000732885.1_ASM73288v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/885/GCF_000732885.1_ASM73288v1
GCA_003647385.1,Deltaproteobacteria bacterium,70.43,2.27,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,Deltaproteobacteria,Deltaproteobacteria,B3_G2,SAMN09215076,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_003647385.1,Contig,3.06951,41.2,,QMMT01,611,3093,2018-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/647/385/GCA_003647385.1_ASM364738v1,
GCA_003647485.1,Deltaproteobacteria bacterium,90.19,9.14,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,Deltaproteobacteria,Deltaproteobacteria,B144_G9,SAMN09215270,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_003647485.1,Contig,4.28376,40.7,,QMMX01,674,4350,2018-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/647/485/GCA_003647485.1_ASM364748v1,
bacteria30013,Desulfobacterales_0017,81.83,5.23,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales_0017,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,2.68,37.8,NA,NA,NA,NA,2019,NA,NA
GCA_003353725.1,Deltaproteobacteria bacterium,87.67,14.82,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,Glo_20,SAMN08108711,PRJNA415343,globobulimina sequencing,NA,Endosymbiont,GCA_003353725.1,Contig,6.92902,36.9,,PIWB01,2115,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/353/725/GCA_003353725.1_ASM335372v1,
GCA_003568005.1,Desulfobacteraceae bacterium,67.56,6.13,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae_A;g__;s__,Deltaproteobacteria,Deltaproteobacteria,T3Sed10_121,SAMN08574834,PRJNA434545,soda lake metagenome,NA,Freshwater,GCA_003568005.1,Contig,2.81656,56.4,,PWYD01,330,0,2018-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/568/005/GCA_003568005.1_ASM356800v1,
GCA_003551985.1,Desulfobacteraceae bacterium,61.13,1.44,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae_A;g__;s__,Deltaproteobacteria,Deltaproteobacteria,B1Sed10_16,SAMN08575201,PRJNA434545,soda lake metagenome,NA,Freshwater,GCA_003551985.1,Contig,2.12103,54.2,,PUOB01,442,0,2018-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/551/985/GCA_003551985.1_ASM355198v1,
GCA_003597945.1,Desulfobacteraceae bacterium,84.3,3.23,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae_A;g__;s__,Deltaproteobacteria,Deltaproteobacteria,SURF_33,SAMN08499027,PRJNA355136,Subsurface metagenome,Momper et al. 2017,Subsurface,GCA_003597945.1,Contig,3.7215,52.8,,QZJS01,137,3322,2018-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/945/GCA_003597945.1_ASM359794v1,
GCA_003599865.1,Desulfobacteraceae bacterium,98.71,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae_A;g__;s__,Deltaproteobacteria,Deltaproteobacteria,SURF_7,SAMN08499001,PRJNA355136,Subsurface metagenome,Momper et al. 2017,Subsurface,GCA_003599865.1,Contig,5.01314,47.5,,QZKS01,100,4463,2018-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/599/865/GCA_003599865.1_ASM359986v1,
GCA_002084945.1,Desulfobacteraceae bacterium 4572_87,55.17,3.45,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__NaphS2;g__NaphS2;s__,Deltaproteobacteria,Deltaproteobacteria,4572_87,SAMN06638422,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_002084945.1,Scaffold,3.00866,50.4,,NBMJ01,330,2811,2017-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/084/945/GCA_002084945.1_ASM208494v1,
GCA_003646975.1,Deltaproteobacteria bacterium,81.7,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__;g__;s__,Deltaproteobacteria,Deltaproteobacteria,B17_G16,SAMN09214968,PRJNA362212,Marine Sediment metagenome Guayamas basin,Seitz et al. 2019,Marine,GCA_003646975.1,Contig,3.25132,58.8,,QMLY01,554,3244,2018-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/646/975/GCA_003646975.1_ASM364697v1,
GCA_003599615.1,Desulfobacteraceae bacterium,84.6,8.19,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__HGW-15;g__HGW-15;s__,Deltaproteobacteria,Deltaproteobacteria,SURF_61,SAMN08499055,PRJNA355136,Subsurface metagenome,Momper et al. 2017,Subsurface,GCA_003599615.1,Contig,8.07122,54.9,,QZIQ01,315,7119,2018-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/599/615/GCA_003599615.1_ASM359961v1,
2757320506,Deltaproteobacteria,93.84,2.26,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__HGW-15;g__;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,minnesota lakes metagenomes,Jones et al. 2019,Freshwater,2757320506,Contig,5.1,54.6,NA,NA,NA,NA,2019,NA,NA
GCA_003819975.1,Desulfobacteraceae bacterium,90.06,7.28,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__HGW-15;g__;s__,Deltaproteobacteria,Deltaproteobacteria,maxbin2.1429,SAMN10417363,PRJNA330672,Sediment metagenome/Wetlands Sediment,Dalcin Martins et al. 2018,Sediment,GCA_003819975.1,Contig,5.13651,48.5,,RPPU01,978,4935,2018-11-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/819/975/GCA_003819975.1_ASM381997v1,
GCA_003751385.1,Desulfosoma caldarium,98.55,1.02,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,DSM 22027,SAMN10363433,PRJNA500311,JGI Isolate sequencing,NA,Isolate,GCA_003751385.1,Scaffold,3.42335,56.8,,RJVA01,17,3021,2018-11-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/751/385/GCA_003751385.1_ASM375138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/751/385/GCF_003751385.1_ASM375138v1
GCA_003235275.1,Proteobacteria bacterium,55.51,6.99,Bacteria;Proteobacteria;unclassified Proteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__,Deltaproteobacteria,Deltaproteobacteria,SZUA-275,SAMN09287823,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003235275.1,Contig,2.71239,49.5,,QJWT01,711,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/235/275/GCA_003235275.1_ASM323527v1,
GCA_003247115.1,Deltaproteobacteria bacterium,72.84,4.47,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__,Deltaproteobacteria,Deltaproteobacteria,SZUA-384,SAMN09287932,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003247115.1,Contig,2.60451,49.6,,QKAY01,584,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/247/115/GCA_003247115.1_ASM324711v1,
GCA_003605055.1,Desulfarculus sp.,92.26,0.32,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,SURF_10,SAMN08499004,PRJNA355136,Subsurface metagenome,Momper et al. 2017,Subsurface,GCA_003605055.1,Contig,3.60059,67,,QZKP01,78,3350,2018-10-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/605/055/GCA_003605055.1_ASM360505v1,
2757320504,Deltaproteobacteria,79.72,1.49,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,minnesota lakes metagenomes,Jones et al. 2019,Freshwater,2757320504,Contig,3.8,52.2,NA,NA,NA,NA,2019,NA,NA
bacteria30016,Desulfobacterales_0034,93.68,0.96,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales_0034,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,4,57,NA,NA,NA,NA,2019,NA,NA
GCA_005116645.1,Desulfopila sp. IMCC35006,100,1.19,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__,Deltaproteobacteria,Deltaproteobacteria,IMCC35006,SAMN11402290,PRJNA532519,Isolate sequencing,NA,Isolate,GCA_005116645.1,Contig,5.63348,49.7,,SWCM01,95,4712,2019-05-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/116/645/GCA_005116645.1_ASM511664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/116/645/GCF_005116645.1_ASM511664v1
GCA_005116655.1,Desulfopila sp. IMCC35005,100,0.6,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfopila;s__,Deltaproteobacteria,Deltaproteobacteria,IMCC35005,SAMN11402289,PRJNA532519,Isolate sequencing,NA,Isolate,GCA_005116655.1,Contig,6.70251,44.3,,SWCL01,63,5355,2019-05-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/116/655/GCA_005116655.1_ASM511665v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/116/655/GCF_005116655.1_ASM511665v1
GCA_005116675.1,Desulfopila sp. IMCC35004,99.91,1.19,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfopila;s__,Deltaproteobacteria,Deltaproteobacteria,IMCC35004,SAMN11402288,PRJNA532519,Isolate sequencing,NA,Isolate,GCA_005116675.1,Contig,5.67035,48.9,,SWCK01,231,4678,2019-05-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/116/675/GCA_005116675.1_ASM511667v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/116/675/GCF_005116675.1_ASM511667v1
bacteria00193,2582580684,77.19,0,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,Freshwater lakes wisconsin,Linz et al. 2018,Freshwater,2582580684,Contig,3.07,53,NA,NA,NA,NA,2017,NA,NA
GCA_004796425.1,Desulfobulbaceae bacterium,98.13,2.2,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,Madre3,SAMN10091134,PRJNA490746,biofilm metagenome,NA,Engineered,GCA_004796425.1,Contig,4.39555,46.9,,QZLB01,330,4086,2019-04-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/796/425/GCA_004796425.1_ASM479642v1,
bacteria00229,2593339183,93.36,0,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,Freshwater lakes wisconsin,Linz et al. 2018,Freshwater,2593339183,Contig,3.8,52.3,NA,NA,NA,NA,2017,NA,NA
GCA_003978695.1,Desulfobulbus sp.,71.77,0.6,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,MAG 6_1,SAMN09407834,PRJNA454888,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003978695.1,Contig,1.91465,47.6,,QNYF01,236,1836,2018-12-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/978/695/GCA_003978695.1_ASM397869v1,
GCA_003247455.1,Desulfobacterales bacterium,71.39,6.85,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__,Deltaproteobacteria,Deltaproteobacteria,SZUA-342,SAMN09287890,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003247455.1,Contig,1.97557,46,,QJZI01,323,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/247/455/GCA_003247455.1_ASM324745v1,
GCA_003557565.1,Desulfobulbaceae bacterium,82.83,1.79,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__Desulfurivibrio;s__,Deltaproteobacteria,Deltaproteobacteria,CSSed10_361,SAMN08574575,PRJNA434545,soda lake metagenome,NA,Freshwater,GCA_003557565.1,Contig,2.23327,59.2,,PWOG01,357,0,2018-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/557/565/GCA_003557565.1_ASM355756v1,
GCA_001798915.1,Deltaproteobacteria bacterium RBG_19FT_COMBO_43_11,68.64,5.16,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314152,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001798915.1,Scaffold,1.99214,42.5,,MGQZ01,138,1673,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/798/915/GCA_001798915.1_ASM179891v1,
2757320507,Deltaproteobacteria,89.03,0.65,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__,Deltaproteobacteria,Deltaproteobacteria,NA ,NA,NA,minnesota lakes metagenomes,Jones et al. 2019,Freshwater,2757320507,Contig,2.9,45.1,NA,NA,NA,NA,2019,NA,NA
GCA_002068015.1,Smithella sp. PtaU1.Bin162,95.48,1.61,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin162,SAMN04534975,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002068015.1,Contig,3.59653,45.3,,MVRV01,191,3321,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/068/015/GCA_002068015.1_ASM206801v1,
GCA_003152715.1,Syntrophaceae bacterium,93.23,9.4,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__FEN-1160;s__,Deltaproteobacteria,Deltaproteobacteria,fen_1146,SAMN08179808,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003152715.1,Scaffold,3.20425,44.2,,PMAX01,178,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/152/715/GCA_003152715.1_20120700_E3X,
bacteria30025,Syntrophobacterales_0012,87.74,1.65,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__;s__,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__FEN-1160;s__,Deltaproteobacteria,Deltaproteobacteria,Syntrophobacterales_0012,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,2.89,43.9,NA,NA,NA,NA,2019,NA,NA
